"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 09 01:55:31 GMT 2025","Wed Apr 09 01:55:31 GMT 2025","37","","tests.TransferScenariosParameterizedTests","","tests.TransferScenariosParameterizedTests","should_handle_multiple_transfer_scenarios","Should handle multiple transfers: Valid transfer",""
"passed","Wed Apr 09 01:55:31 GMT 2025","Wed Apr 09 01:55:31 GMT 2025","37","","tests.AccountBalanceTests","","tests.AccountBalanceTests","shouldReturnAccountBalance_whenAccountIdIsValid","Should return account balance when account ID is valid",""
"passed","Wed Apr 09 01:55:29 GMT 2025","Wed Apr 09 01:55:31 GMT 2025","1426","","tests.TransactionDetailsTests","","tests.TransactionDetailsTests","shouldReturnTransactionDetails_whenTransactionExists","Should return transaction details when transaction exists",""
"passed","Wed Apr 09 01:55:51 GMT 2025","Wed Apr 09 01:55:51 GMT 2025","130","chromium","transfer.spec.ts","Banking Application","","","should show error for invalid transfer",""
"passed","Wed Apr 09 01:55:51 GMT 2025","Wed Apr 09 01:55:51 GMT 2025","133","chromium","transfer.spec.ts","Banking Application","","","should perform a transfer",""
"passed","Wed Apr 09 01:55:50 GMT 2025","Wed Apr 09 01:55:51 GMT 2025","117","chromium","transfer.spec.ts","Banking Application","","","should load the home page",""
"passed","Wed Apr 09 01:55:31 GMT 2025","Wed Apr 09 01:55:31 GMT 2025","21","","tests.TransferScenariosParameterizedTests","","tests.TransferScenariosParameterizedTests","should_handle_multiple_transfer_scenarios","Should handle multiple transfers: Self-transfer",""
"passed","Wed Apr 09 01:55:31 GMT 2025","Wed Apr 09 01:55:31 GMT 2025","21","","tests.TransferScenariosParameterizedTests","","tests.TransferScenariosParameterizedTests","should_handle_multiple_transfer_scenarios","Should handle multiple transfers: Invalid to_account",""
"passed","Wed Apr 09 01:55:31 GMT 2025","Wed Apr 09 01:55:31 GMT 2025","327","","tests.FundTransferTests","","tests.FundTransferTests","shouldTransferFundsSuccessfully_whenDataIsValid","Should transfer funds successfully when data is valid",""
"passed","Wed Apr 09 01:55:31 GMT 2025","Wed Apr 09 01:55:31 GMT 2025","20","","tests.TransferScenariosParameterizedTests","","tests.TransferScenariosParameterizedTests","should_handle_multiple_transfer_scenarios","Should handle multiple transfers: Zero amount",""
